epsilon,acc,dp
0.01,0.5571776155717761,0.03128371943843336
0.019000000000000003,0.5630170316301704,0.051204049995347334
0.028000000000000004,0.5863746958637469,0.06042424374414704
0.037000000000000005,0.5902676399026764,0.08805908685038419
0.046000000000000006,0.5970802919708029,0.09424119013160107
0.05500000000000001,0.6058394160583942,0.10026490485797498
0.064,0.6102189781021898,0.12344803964465528
0.073,0.6184914841849148,0.1453630760641236
0.082,0.6301703163017032,0.16121480061850732
0.09100000000000001,0.6340632603406327,0.1778861859442037
0.1,0.6491484184914842,0.20099012645346245
