gamma,acc_mean,acc_std,dp_mean,dp_std
0.01,0.617191977077364,0.0029220742198239396,0.09036706272829145,0.00594920156776927
0.028999999999999998,0.6272206303724929,0.001072108133746113,0.0999187346558199,0.003624023977743366
0.048,0.6395415472779369,0.002144216267492267,0.13887648523109297,0.005880825091884329
0.06699999999999999,0.6587392550143267,0.0019006445790002255,0.1768350997852884,0.0035089032208959923
0.086,0.6679083094555874,0.0019006445790002255,0.19065534084396202,0.005391674346236927
0.105,0.6819484240687679,0.0,0.22836417139288803,0.000586699111196052
0.12399999999999999,0.666189111747851,0.0,0.2514863003738205,0.0
0.14300000000000002,0.666189111747851,0.0,0.24195686948785727,0.0
0.162,0.666189111747851,0.0,0.24195686948785727,0.0
0.181,0.666189111747851,0.0,0.24195686948785727,0.0
0.2,0.666189111747851,0.0,0.24195686948785727,0.0
