gamma,acc,dp,acc_threshold,dp_threshold,optimal_threshold
0.0,0.8308383233532934,0.0274762550881954,0.8488023952095808,0.013625056535504332,0.6421149253845215
0.1,0.7215568862275449,0.013116236996834063,0.7679640718562875,0.022840343735866075,0.6792606115341187
0.2,0.8098802395209581,0.00831071913161463,0.842814371257485,0.0009045680687471691,0.6578671336174011
0.30000000000000004,0.8023952095808383,0.03900949796472186,0.8203592814371258,0.009328358208955223,0.6043793797492981
0.4,0.5284431137724551,0.0026571687019447676,0.7230538922155688,0.048790140208050614,0.8653515934944153
0.5,0.7844311377245509,0.02408412483039346,0.8173652694610778,0.002317955676164607,0.743212890625
0.6000000000000001,0.7425149700598802,0.00915875169606517,0.7485029940119761,0.01656490275893263,0.5988021612167358
0.7000000000000001,0.7934131736526946,0.010176390773405597,0.8218562874251497,0.03250791497060157,0.6529874444007874
0.8,0.7934131736526946,0.041214382632293045,0.8353293413173652,0.009328358208955279,0.6439059734344482
0.9,0.7559880239520959,0.033864767073722324,0.7934131736526946,0.07168701944821348,0.6199678421020508
1.0,0.5,0.011250565355042957,0.5104790419161677,0.013794663048394384,0.2179977960884571
