gamma,acc,dp,acc_threshold,dp_threshold,optimal_threshold
0.0,0.8617431125972232,0.32072012050520987,0.8373191829614015,0.33656408145906386,0.2084415227174759
0.1,0.8773715199534782,0.22681216662772188,0.8295413244166606,0.30005991301697216,0.055448690941557285
0.2,0.8764265464854256,0.18201728179250692,0.8136221559933124,0.24179931484088285,-0.034137654677033426
0.30000000000000004,0.8929999273097332,0.10775473341133077,0.8058442974485717,0.19686576492590113,-0.5353340089321137
0.4,0.8533110416515228,0.17545862565522283,0.8202369702696809,0.21229348807763304,0.28299624621868136
0.5,0.880424511157956,0.08919819242185234,0.8304862978847133,0.11978415143035251,0.11111766174435615
0.6000000000000001,0.8530202805844297,0.09568189664721582,0.8120229701243004,0.11850374314861095,0.3124997317790985
0.7000000000000001,0.8764992367521989,0.05120549679695793,0.8291778730827942,0.07412622807535293,0.16159071028232574
0.8,0.8752635022170532,0.06462843822693046,0.8202369702696809,0.08305278247855541,0.12087892983108758
0.9,0.8421894308352111,0.036332433964293115,0.752271570836665,0.04948750518478029,0.2320145010948181
1.0,0.1617358435705459,0.003304756737788739,0.20665842843643237,0.006322238240352274,0.5603424370288849
