gamma,acc_mean,acc_std,dp_mean,dp_std
0.01,0.5736389684813753,0.0032163244012383386,0.023116996432879112,0.018953081149634243
0.019000000000000003,0.5962750716332379,0.009563506743999237,0.05848196337071539,0.020892483332861693
0.028000000000000004,0.6037249283667622,0.00562947928492506,0.06970855681302981,0.024180821173979582
0.037000000000000005,0.6103151862464185,0.009459927804710111,0.1017134156251871,0.0070311549902553755
0.046000000000000006,0.6200573065902579,0.008567287328209756,0.10386566410894686,0.009539004683064926
0.05500000000000001,0.6381088825214899,0.011193137527005525,0.1344368311648318,0.010755498252606056
0.064,0.6398280802292263,0.0056294792849251075,0.14973182436420562,0.01170689270026747
0.073,0.6616045845272206,0.00246484964671708,0.18148861002044464,0.010822754295002497
0.082,0.667621776504298,0.004438949393933993,0.1910471253453777,0.007756413609920312
0.09100000000000001,0.6713467048710602,0.005093521156054768,0.20389389312324102,0.022837697036117644
0.1,0.6808022922636103,0.004383111329735909,0.2296849470919838,0.010560016633169661
