gamma,acc,dp,acc_threshold,dp_threshold,optimal_threshold
0.0,0.6586826347305389,0.00521988777241289,0.6197604790419161,0.013267214754882684,0.7055229365825653
0.1,0.6407185628742516,0.05567880290573757,0.6437125748502994,0.06459611118360953,0.46377502009272575
0.2,0.5269461077844312,0.022184523032754866,0.5089820359281437,0.04471703858367049,0.6341235131025315
0.30000000000000004,0.6137724550898204,0.002044456044195009,0.6526946107784432,0.0584627430510245,0.39995619654655457
0.4,0.45808383233532934,0.03345078080821262,0.5389221556886228,0.009569794249423613,0.17704608291387558
0.5,0.5059880239520959,0.011875244682239328,0.45209580838323354,0.055983296359128354,0.5821706116199493
0.6000000000000001,0.39820359281437123,0.1765627039018661,0.5538922155688623,0.14689634172865274,0.11326571106910706
0.7000000000000001,0.5808383233532934,0.01766062029666371,0.625748502994012,0.09365348645004135,0.2817360907793045
0.8,0.6706586826347305,0.05150289268780728,0.6167664670658682,0.24585671408064724,0.8083622574806213
0.9,0.38622754491017963,0.012745225977641467,0.5119760479041916,0.05833224585671409,0.32326251864433286
1.0,0.3323353293413174,0.0093522989255731,0.6137724550898204,0.010918265257297,-0.40275168120861055
