epsilon,acc,dp
0.01,0.888783891836883,0.08072963106693518
0.019000000000000003,0.8874027767681908,0.08701329643664389
0.028000000000000004,0.8872573962346442,0.1014051639578111
0.037000000000000005,0.8870393254343244,0.0846926744509918
0.046000000000000006,0.886966635167551,0.08260724791839943
0.05500000000000001,0.8890019626372029,0.12421863962627763
0.064,0.8893654139710693,0.10345233095608722
0.073,0.8868212546340045,0.11811821728934661
0.082,0.8898015555717089,0.12165082077574871
0.09100000000000001,0.8883477502362433,0.10867987208589208
0.1,0.8890746529039761,0.13148021869310908
