gamma,acc,dp,acc_threshold,dp_threshold,optimal_threshold
0.0,0.7005988023952096,0.005654878420113918,0.6137724550898204,0.1202749140893471,0.7123263239860534
0.1,0.6976047904191617,0.011701248423158894,0.5479041916167665,0.0644221149245291,0.7394563794136048
0.2,0.6856287425149701,0.021097046413502074,0.6227544910179641,0.015311670799077803,0.6897267937660218
0.30000000000000004,0.6946107784431138,0.0,0.5568862275449101,0.050371917003784406,0.720777690410614
0.4,0.6946107784431138,0.0,0.5688622754491018,0.06159467571447219,0.712093961238861
0.5,0.6946107784431138,0.0,0.5449101796407185,0.1389360128757232,0.7075482845306397
0.6000000000000001,0.6946107784431138,0.0,0.625748502994012,0.012745225977641494,0.6890548586845398
0.7000000000000001,0.6946107784431138,0.0,0.5898203592814372,0.036843707860281016,0.7020565867424011
0.8,0.6946107784431138,0.0,0.5269461077844312,0.09447996868067332,0.7080478191375732
0.9,0.6946107784431138,0.0,0.6197604790419161,0.0027404410805167423,0.6943960785865784
1.0,0.5209580838323353,0.0334942798729827,0.5179640718562875,0.02927487059028233,0.49920880794525146
