gamma,acc_mean,acc_std,dp_mean,dp_std
0.0,0.5060171919770773,0.017225373484457445,0.0274351801952079,0.03406031290101345
0.1,0.5191977077363897,0.034806383126785585,0.022223933071573367,0.008607456345272718
0.2,0.5197707736389685,0.021468948647483322,0.025980958246721565,0.011776830559325562
0.30000000000000004,0.5269340974212036,0.027860080825058423,0.018584956501655224,0.007304418360221429
0.4,0.530945558739255,0.025971963767620995,0.011851053455487972,0.011126009412026225
0.5,0.5277936962750717,0.026796576311147718,0.041293059939607024,0.03084405899805959
0.6000000000000001,0.5426934097421203,0.00630372492836675,0.021649087689583492,0.014880318550162133
0.7000000000000001,0.5063037249283667,0.027312467609839484,0.018495992335394913,0.01485155931331431
0.8,0.5183381088825214,0.026469814165916327,0.030708035003977712,0.02144880266193354
0.9,0.5229226361031519,0.03290765767086958,0.014273616136731065,0.010815131974411923
1.0,0.5114613180515759,0.018941540264800456,0.02792277226028862,0.016457285346738976
