gamma,acc_mean,acc_std,dp_mean,dp_std
0.0,0.564078982959156,0.09054326888662548,0.018328260391759887,0.012383813305141432
0.1,0.4774682174736273,0.05538828933964987,0.01590263948369224,0.009030949354882968
0.2,0.49564511766297004,0.07725849304741225,0.015893448246005453,0.005450090842318117
0.30000000000000004,0.5630511225317825,0.052754651274897285,0.0515846892629027,0.01605256008410222
0.4,0.5562347849607789,0.12061368133867328,0.03569363873107636,0.016948786260879867
0.5,0.49202055720854754,0.062963794061292,0.006792591063186438,0.003830496222404522
0.6000000000000001,0.6113064647011089,0.03851224610345184,0.020158582151682092,0.006691446970715398
0.7000000000000001,0.5270219096564782,0.07250707338349288,0.017177957014313027,0.013670560195845588
0.8,0.5658642142277521,0.02547316918440607,0.07793856523447644,0.013270768990992629
0.9,0.526643224235867,0.13110181277257194,0.012933403488674097,0.007669905688807098
1.0,0.57100351636462,0.037485992304412526,0.01682462718874671,0.011461793559922535
