entropy_1,entropy_2,mean_entropy_3,std_entropy_3,mean_entropy_3_scaled,std_entropy_3_scaled,n_bins,S,x1,x2
0.9257724232145381,0.7638026659331062,3.180719063445891,0.023527754536269676,0.8872391448462998,0.006562901154903795,12.0,0.0,-0.4382387749311767,-0.6201955369580812
0.9010891843657631,0.7546516338427501,3.89683367841916,0.015120570072682124,0.9016424134933969,0.0034985704853741145,20.0,1.0,-0.2070104860696485,3.151189767852994
0.9107872838661832,0.7471781328795917,4.510654868834097,0.021297686530452192,0.9104715651612638,0.004298918572483664,31.0,0.0,1.1734328258234543,-0.6358212923153498
0.9295231861792265,0.7797504591523331,3.4056624945136234,0.022526060982111698,0.8514156236284058,0.0056315152455279245,16.0,1.0,1.1754995577229084,-0.3624451496642884
0.9032906780348733,0.7745085286615678,2.7757875842757413,0.0228710985539221,0.8756634882569024,0.0072150282872673055,9.0,1.0,-0.7670551958821816,-1.9018528623856907
0.9426831892554921,0.7097645542842423,3.6730039050426506,0.032156179848509485,0.9182509762606627,0.008039044962127371,16.0,1.0,0.8786910377492445,0.0058012987617752
0.9021932572871765,0.7674044165839726,3.8038421570121463,0.031221590096301446,0.8801262014312344,0.0072239957284886535,20.0,0.0,1.2188688949987685,-0.3282545740819913
0.9358415530325216,0.7762640017033955,3.0877468760156312,0.022738308436595786,0.8613052090208742,0.006342690734427969,12.0,1.0,0.1646151916866647,0.854493595869263
0.9086783848007121,0.7509319796338464,2.6585238768918833,0.03139200546011287,0.8386709072556158,0.009903075134531434,9.0,1.0,0.8265703994941083,-0.0181742484395129
0.9248187049730301,0.7709729679004811,3.5301295141692757,0.029990517478207978,0.8825323785423189,0.0074976293695519945,16.0,1.0,-0.1969166199390768,-0.9598828047471676
0.9331717984240897,0.7077052118041788,3.505244272362739,0.021284510927763053,0.8763110680906847,0.005321127731940763,16.0,1.0,-0.7616024279066059,0.2508867333146612
0.8775927477962673,0.7357090792864718,3.0806372736568624,0.036683048286399386,0.859322035596511,0.01023247754447086,12.0,0.0,0.0922679361262773,0.1441903967373282
0.9257724232145381,0.7509319796338464,3.8673158148815228,0.012141840794471809,0.8948126229717646,0.002809357427495164,20.0,0.0,1.6048373290877105,0.9166627770367004
0.9340680553754911,0.7638026659331062,3.1313514118228296,0.03015652716225409,0.8734683866826842,0.008411950517247463,12.0,1.0,1.1783640104779602,-0.4968932581706353
0.9340680553754911,0.7337669895308355,3.267694262944976,0.03309010520182529,0.9115002631931691,0.009230251416902919,12.0,1.0,1.2614651971540332,-0.9373639109018822
0.9107872838661832,0.7395669234392042,3.525998376960055,0.024079747726760803,0.8814995942400138,0.006019936931690201,16.0,1.0,0.9944453621178108,-0.2806110249152058
0.9086783848007121,0.7619892744665404,4.011993535507802,0.0237582518577914,0.9282878954542999,0.0054971418626552785,20.0,1.0,-1.098333831982225,1.6495041472849026
0.9304448940240344,0.7414827399312736,3.4796957684270864,0.03229535394086149,0.8699239421067716,0.008073838485215373,16.0,1.0,-1.3895375907745438,0.388977184310212
0.9267197214533212,0.7674044165839726,4.618380521246978,0.018306522631125217,0.9003949491556258,0.003569021746440625,35.0,1.0,-0.4793485249125375,0.8196000621506255
0.9276606087330418,0.7118146702143195,2.6877040107126358,0.027099364154810027,0.8478762145759706,0.008548897574068732,9.0,1.0,-0.0801447913362252,1.4241504199185078
0.9128699190400288,0.7414827399312736,3.219944718414399,0.02600295847266973,0.8981808645883105,0.007253341832010511,12.0,1.0,-0.1040114164837685,0.8710412613928002
0.9139014134928695,0.7832044302828898,3.8354423625010936,0.02182960745064496,0.8874378005127482,0.00505089556590921,20.0,1.0,0.9262549116729472,0.2867267585750133
0.9179621399872384,0.7619892744665404,3.750719808568673,0.02405291004292764,0.8678348473695335,0.005565319347025032,20.0,1.0,-0.6298573005139461,1.3329883165338527
0.9393127137322361,0.7219280948873623,3.946958710545739,0.024213370016916,0.9132402538614202,0.005602446289090101,20.0,1.0,-0.7543039338573255,1.0035721645853977
