gamma,acc,dp,acc_threshold,dp_threshold,optimal_threshold
0.0,0.6656934306569343,0.28075262281547536,0.664720194647202,0.2866971432644277,0.4933637142181396
0.1,0.6593673965936739,0.24425396020883539,0.6583941605839416,0.23788674030414564,0.5063095808029174
0.2,0.6009732360097324,0.156752203085805,0.602919708029197,0.1527618014322285,0.529356449842453
0.30000000000000004,0.667639902676399,0.2454557333687068,0.6671532846715329,0.2446499315959429,0.5438662052154541
0.4,0.6574209245742092,0.23970919861330817,0.6579075425790755,0.2409376998418094,0.5089714467525482
0.5,0.5985401459854015,0.12992217182386398,0.6034063260340633,0.16582984713524607,0.4794761300086975
0.6000000000000001,0.5299270072992701,0.0,0.4968369829683698,0.005050615042556994,-0.8876897931098938
0.7000000000000001,0.5722627737226277,0.11906760617477774,0.5766423357664233,0.10811701746431801,0.48536418080329896
0.8,0.5362530413625304,0.037450973792633735,0.4968369829683698,0.017975121117748016,0.46819762587547303
0.9,0.5299270072992701,0.005099121537477701,0.5046228710462287,0.01891060351978968,0.4764780759811401
1.0,0.5299270072992701,0.0,0.49099756690997565,0.024031503483558314,-0.1729611661285162
