epsilon,acc,dp
0.01,0.6953931691818904,0.020989534144132016
0.019000000000000003,0.7017474185861795,0.02818199924188397
0.028000000000000004,0.7061159650516283,0.03104581462135958
0.037000000000000005,0.704527402700556,0.004160001027953941
0.046000000000000006,0.7096902303415409,0.02807277913767514
0.05500000000000001,0.7152501985702939,0.042078651324454375
0.064,0.7196187450357426,0.05835084067356683
0.073,0.7172359015091342,0.07669981818065008
0.082,0.7188244638602065,0.07625169451779323
0.09100000000000001,0.7128673550436855,0.06623556849064238
0.1,0.7168387609213661,0.06219121227890961
