gamma,acc,dp,acc_threshold,dp_threshold,optimal_threshold
0.0,0.9026946107784432,0.030076888285843484,0.9011976047904192,0.022501130710085915,0.5284988164901734
0.1,0.781437125748503,0.02074853007688826,0.781437125748503,0.022727272727272707,0.48808570504188536
0.2,0.7245508982035929,0.06818181818181818,0.7305389221556886,0.06642921754862052,0.5127846598625183
0.30000000000000004,0.6721556886227545,0.004183627317955629,0.6841317365269461,0.011420171867933038,0.5273153007030487
0.4,0.6511976047904192,0.07400497512437809,0.6631736526946108,0.035730438715513346,0.5731531381607056
0.5,0.6347305389221557,0.007575757575757569,0.6347305389221557,0.007575757575757569,0.5002939820289611
0.6000000000000001,0.5658682634730539,0.07564450474898243,0.5838323353293413,0.040479421076435984,0.5247059404850006
0.7000000000000001,0.5523952095808383,0.035334690185436446,0.5568862275449101,0.035447761194029814,0.5012554049491882
0.8,0.5,0.09277476255088196,0.49251497005988026,0.1071347806422433,0.49783052802085875
0.9,0.49850299401197606,0.018656716417910446,0.5119760479041916,0.016056083220262418,0.4878584146499634
1.0,0.5059880239520959,0.017243328810492953,0.5134730538922155,0.004635911352329214,0.4786586403846741
