gamma,acc_mean,acc_std,dp_mean,dp_std
0.0,0.5042979942693411,0.031085854109147333,0.024851797674955732,0.012038306573149159
0.1,0.5389684813753581,0.012858914425396495,0.01560807863063619,0.012776891216859754
0.2,0.48022922636103155,0.01161784236831707,0.004739052702714264,0.0036176029884231655
0.30000000000000004,0.5504297994269342,0.009859398586868321,0.05153933670370654,0.016753821050715375
0.4,0.542406876790831,0.010590096626118218,0.07394804150520526,0.021751327553110322
0.5,0.5346704871060173,0.03529592865498193,0.042401690319158955,0.02008097092830975
0.6000000000000001,0.5332378223495702,0.013421247482670933,0.04199964072163629,0.012754259020312976
0.7000000000000001,0.5495702005730658,0.01793064509703382,0.05506197551774576,0.03291226419294999
0.8,0.5154727793696275,0.02835663041544528,0.03918358268962625,0.020800192748638032
0.9,0.5372492836676218,0.016030487943494983,0.04668052454641106,0.026400561425360358
1.0,0.5444126074498568,0.0168787122922901,0.029433452237363246,0.010820823115245024
