gamma,acc_mean,acc_std,dp_mean,dp_std
0.0,0.48141592920353976,0.08044827028221956,0.035385878489326776,0.019130601754244404
0.1,0.5451327433628318,0.05751531613901565,0.1145320197044335,0.03269466700698546
0.2,0.5646017699115045,0.07284642699913868,0.029310344827586203,0.015533522878531712
0.30000000000000004,0.5592920353982301,0.10669498671222327,0.05443349753694583,0.04025216366469898
0.4,0.511504424778761,0.054090997486499544,0.08825944170771757,0.07143376158408002
0.5,0.568141592920354,0.08623665638994574,0.10886699507389161,0.05816807229560128
0.6000000000000001,0.5327433628318584,0.08214372662564454,0.08825944170771756,0.06382643209062644
0.7000000000000001,0.5380530973451327,0.0990834336444489,0.05311986863711003,0.04220272430632026
0.8,0.5716814159292035,0.05414887979036586,0.09220032840722497,0.07135426367188782
0.9,0.4991150442477876,0.066365781448682,0.048850574712643674,0.03303819937234602
1.0,0.5539823008849558,0.10818199497299913,0.08497536945812804,0.07504527264967381
