gamma,acc,dp,acc_threshold,dp_threshold,optimal_threshold
0.0,0.6533219761499148,0.0,0.4940374787052811,0.000743530088983757,0.3727356314659119
0.1,0.6533219761499148,0.0,0.5085178875638842,0.011890485213345181,0.3728814244270325
0.2,0.6533219761499148,0.0,0.5434412265758092,0.02672510973065023,0.3766327083110809
0.30000000000000004,0.6533219761499148,0.0,0.5494037478705281,0.02734871561173341,0.37705174684524534
0.4,0.6533219761499148,0.0,0.5,0.0037356390761039138,0.37839037775993345
0.5,0.6533219761499148,0.0,0.5323679727427598,0.012172307101911584,0.3761777222156525
0.6000000000000001,0.6507666098807495,0.0008154846137241262,0.5008517887563884,0.027900366968076185,0.3686642527580261
0.7000000000000001,0.6524701873935264,0.003963495071115056,0.46678023850085176,0.019799486724390136,0.35529017448425293
0.8,0.6533219761499148,0.0,0.4199318568994889,0.014414889789652996,0.36465956568717955
0.9,0.6533219761499148,0.0,0.5085178875638842,0.009887750941405038,0.4333436727523804
1.0,0.44804088586030666,0.018144532655361867,0.49233390119250425,0.0141930300050368,0.5155850410461426
