gamma,acc,dp,acc_threshold,dp_threshold,optimal_threshold
0.0,0.6490630323679727,0.007483270572997865,0.43781942078364566,0.0306706161705802,0.24977198243141174
0.1,0.5136286201022147,0.009486004844938,0.4727427597955707,0.016207756697767084,0.3940094575285912
0.2,0.5877342419080068,0.010037656201280831,0.5434412265758092,0.0003118029405415612,0.4269634621217847
0.30000000000000004,0.5374787052810903,0.02725277624541289,0.479557069846678,0.017442976039143243,0.41212314963340757
0.4,0.5136286201022147,0.0066557935384836675,0.5025553662691652,0.01530832513851249,0.45392836146056653
0.5,0.47614991482112434,0.015524188712733589,0.4744463373083475,0.007339361523517107,0.48344758749008176
0.6000000000000001,0.5562180579216355,0.00458710095219822,0.4497444633730835,0.013455496126448141,0.09728510528802872
0.7000000000000001,0.5971039182282794,0.03155805530904468,0.5110732538330494,0.006409948912287411,0.23512359522283077
0.8,0.6337308347529813,0.02963327177223994,0.5374787052810903,0.029573309668289638,0.2698519229888916
0.9,0.6379897785349233,0.0007735111409589157,0.4540034071550256,0.03329695632360352,0.011610666662454605
1.0,0.3475298126064736,0.00018588252224593926,0.6218057921635435,0.005168733360516153,0.889586329460144
