epsilon,acc,dp
0.01,0.7655388010297903,0.09333207543661493
0.019000000000000003,0.7712394262596542,0.09474538031587743
0.028000000000000004,0.770136079440971,0.10149412829967364
0.037000000000000005,0.7728025009194557,0.09960644496287818
0.046000000000000006,0.7782272894446488,0.10832060576566815
0.05500000000000001,0.7813534387642516,0.12878875976819548
0.064,0.7847554247885252,0.13876168095034813
0.073,0.7892607576314822,0.13586473363097118
0.082,0.7931224714968739,0.14169749301082402
0.09100000000000001,0.7998344979771975,0.1484786282788697
0.1,0.8012136815005517,0.15568712328825585
