gamma,acc_mean,acc_std,dp_mean,dp_std
0.0,0.563951250801796,0.0963352401804268,0.025420101930554495,0.01130262676115367
0.1,0.5169553132349798,0.09607776706313202,0.05411806246862531,0.006839943731029848
0.2,0.4826170622193714,0.1381183857351315,0.024614782482919383,0.020029384381487193
0.30000000000000004,0.4756895445798589,0.10461355354332302,0.042434336472930566,0.016442109442308624
0.4,0.535385931152448,0.1254225052250024,0.03234891220188716,0.02123002037049361
0.5,0.4476373743852897,0.07998083551672971,0.019779887859373256,0.011395747851661538
0.6000000000000001,0.5728458413512936,0.14199314087851345,0.02784031447022489,0.021685454966600428
0.7000000000000001,0.5769510369895232,0.10053493993483416,0.02146625145706238,0.010564898610329769
0.8,0.442719692110327,0.07841211731920171,0.01765959619164308,0.01164290195065689
0.9,0.47282446012401114,0.11504170084414397,0.03828224043018441,0.020491599089405548
1.0,0.4903143040410519,0.06498323072033874,0.02201163948234931,0.011426919284679435
