epsilon,acc,dp
0.01,0.6766467065868264,0.09387098177389186
0.019000000000000003,0.6796407185628742,0.05076340858671535
0.028000000000000004,0.7005988023952096,0.012788725042411575
0.037000000000000005,0.6856287425149701,0.031536821958327854
0.046000000000000006,0.688622754491018,0.05733176736700163
0.05500000000000001,0.6856287425149701,0.05076340858671535
0.064,0.6946107784431138,0.06342163643481669
0.073,0.688622754491018,0.09482796119883419
0.082,0.7005988023952096,0.07795032406803248
0.09100000000000001,0.7005988023952096,0.054982817869415834
0.1,0.7035928143712575,0.03858367045108524
