gamma,acc,dp,acc_threshold,dp_threshold,optimal_threshold
0.0,0.8488414858403825,0.15229188983523112,0.8022250827510115,0.30919749911420047,0.7720440983772278
0.1,0.8443361529974255,0.11091186909394624,0.8065465244575212,0.2005393436845736,0.7828855276107788
0.2,0.8312798823096726,0.07707278313433252,0.8143618977565281,0.22396031282346196,0.7665680527687073
0.30000000000000004,0.7952372195660169,0.08528114684570798,0.7585509378447959,0.129109361829856,0.7800276875495911
0.4,0.8378999632217727,0.08085232144767496,0.7774917248988599,0.10519184084461097,0.7696952819824219
0.5,0.8351415961750643,0.052975676980133724,0.7933983082015447,0.08554422269508144,0.7786834001541137
0.6000000000000001,0.8069143067304156,0.018746140322473348,0.7675616035307098,0.05447740162030734,0.7654240250587463
0.7000000000000001,0.8187752850312615,0.017375418899975514,0.7695844060316293,0.035319689672855925,0.7586631655693055
0.8,0.7892607576314822,0.009899871147068362,0.7020044133872747,0.006321115316327064,0.7797629237174988
0.9,0.799466715704303,0.02926829585018087,0.7271974990805443,0.05381631278801846,0.7716943025588989
1.0,0.39527399779330635,0.013173232887857489,0.5893710923133505,0.004806481321175449,0.047697756066918374
