gamma,acc,dp,acc_threshold,dp_threshold,optimal_threshold
0.0,0.6608272506082725,0.2755218407917844,0.6666666666666666,0.2702385925593016,0.4538877546787262
0.1,0.5868613138686132,0.12281547535375092,0.583941605839416,0.1237400685426471,0.5039065539836883
0.2,0.5644768856447688,0.09425603905861762,0.5425790754257908,0.11110066186617351,0.4547289967536926
0.30000000000000004,0.5605839416058395,0.0920366194338797,0.5591240875912409,0.09207621657259046,0.5012270689010621
0.4,0.5581508515815086,0.07001566066836012,0.5542579075425791,0.05849784294586874,0.4831686317920685
0.5,0.5489051094890511,0.06014706377317175,0.5425790754257908,0.05543500426659176,0.4606024920940399
0.6000000000000001,0.540632603406326,0.013026468707371203,0.5265206812652068,0.01295222407228852,0.46367005705833436
0.7000000000000001,0.5304136253041363,0.005032796330137183,0.5031630170316301,0.028700006137556466,0.4686570346355438
0.8,0.532360097323601,0.0007266074953423867,0.5090024330900244,0.010745673517631615,0.465424507856369
0.9,0.5299270072992701,0.004755616359161888,0.5153284671532846,0.035355295226366934,0.4668874263763428
1.0,0.4944038929440389,0.029609750399436086,0.48369829683698295,0.0008404492691358456,0.46150690913200376
