gamma,acc_mean,acc_std,dp_mean,dp_std
0.01,0.5736389684813753,0.0032163244012383386,0.023116996432879112,0.018953081149634243
0.028999999999999998,0.6077363896848137,0.00947726957509524,0.08045953413572168,0.025127135213387483
0.048,0.6289398280802292,0.004249970479710974,0.12608104293376446,0.02068893414511752
0.06699999999999999,0.6478510028653296,0.008756852028616707,0.16716537925252992,0.005722471149532019
0.086,0.6595988538681948,0.0053298209850252826,0.18359124387302078,0.009767581918747943
0.105,0.6873925501432664,0.0016707598552565296,0.23661217611483218,0.002783417820247117
0.12399999999999999,0.6948424068767909,0.0015694056088973614,0.2828359038844835,0.006011296042292821
0.14300000000000002,0.6977077363896849,0.0,0.2873457027741422,0.0
0.162,0.6977077363896849,0.0,0.2873457027741422,0.0
0.181,0.6977077363896849,0.0,0.2873457027741422,0.0
0.2,0.6977077363896849,0.0,0.2873457027741422,0.0
