gamma,acc_mean,acc_std,dp_mean,dp_std
0.01,0.8306735190695159,0.0003421452702373307,0.018517546605569302,0.0006430275840196897
0.019000000000000003,0.8306194211522856,0.0002650245867225636,0.02915300746621561,0.00026251491189714594
0.028000000000000004,0.8331620232621043,0.000577607695538643,0.04179868525339179,0.0013169023517718352
0.037000000000000005,0.8349472545307005,0.0009275860535289286,0.054177950353995884,0.0023164284204690044
0.046000000000000006,0.8368947795509873,0.0015396537160679061,0.06539372464916779,0.00394846147063448
0.05500000000000001,0.8384095212334326,0.0003245875033811352,0.07777845120984661,0.0009465875430999957
0.064,0.8418717879361644,0.0010062794286036345,0.09119179715338041,0.0022533112288749546
0.073,0.8440357046253719,0.0009307357605672305,0.10792298009231202,0.0014083620839110838
0.082,0.8491209088450095,0.0008789871143777052,0.11835803200948432,0.0030073797511242888
0.09100000000000001,0.8503651609413037,0.00031544235298051405,0.13415177530754013,0.0013220142879809013
0.1,0.8519340005409791,0.0009767633262249063,0.14695796673837608,0.001684180145348448
