gamma,acc_mean,acc_std,dp_mean,dp_std
0.01,0.9034851400470387,0.0003965626895657867,0.0041976159481328336,0.00033762780741325546
0.019000000000000003,0.9038272396835577,0.0008158556351652495,0.0033616662837889543,0.0028849814582474786
0.028000000000000004,0.9038272396835577,0.0002493458154733991,0.009666385889680166,0.0015120307054217147
0.037000000000000005,0.9055805003207185,0.000290029077747506,0.019393181373424877,0.0012234742987535766
0.046000000000000006,0.9059225999572377,0.00046843921958963344,0.03745224664131165,0.006421774400262546
0.05500000000000001,0.9056232627752834,0.0003965626895657867,0.04901685512758336,0.0012833713725580486
0.064,0.9064357494120163,0.00029002907774750594,0.05783665586100688,0.003260073615731973
0.073,0.9072054735941844,0.0,0.06428516731755876,0.002447780679625115
0.082,0.9071199486850545,0.00025657472738935814,0.06618296449447379,0.00231423040957619
0.09100000000000001,0.9075903356852683,8.552490912974164e-05,0.07706434898026902,0.0012345679012345625
0.1,0.9072482360487493,0.0006400098159972266,0.08943002271741071,0.003835117776361239
