gamma,acc_mean,acc_std,dp_mean,dp_std
0.0,0.48114687584528,0.0856025654436779,0.012252053042765887,0.007148214076077055
0.1,0.3547200432783338,0.0637776588243791,0.009516127958013366,0.008727113013379202
0.2,0.3140925074384636,0.027885049428624867,0.010987192210093038,0.011205481849401799
0.30000000000000004,0.4088720584257506,0.0494126360375432,0.017085178796214285,0.0027691808979357674
0.4,0.5365431430889911,0.09678880902000346,0.016111507029964757,0.014473957726015372
0.5,0.495915607249121,0.14532674222482472,0.009606108842903093,0.007294239690424552
0.6000000000000001,0.5459020827698133,0.1013344245173804,0.019637145920888742,0.009215802720440884
0.7000000000000001,0.5369218285096024,0.17942812064582558,0.008060049419553383,0.010488838414272903
0.8,0.47249120908845005,0.17651822950047794,0.00944666084998968,0.0067546786753298164
0.9,0.4304030294833649,0.1440831175829462,0.012171996030450969,0.0049283887695376625
1.0,0.4918582634568569,0.0966258466190326,0.007633456105179742,0.004865100809533914
