epsilon,acc,dp
0.01,0.8745365995493204,0.4
0.019000000000000003,0.8841317147633931,0.45
0.028000000000000004,0.8854401395653122,1.0
0.037000000000000005,0.8879116086356037,0.5
0.046000000000000006,0.8814421748927819,1.0
0.05500000000000001,0.8878389183688304,1.0
0.064,0.8876935378352838,1.0
0.073,0.8876935378352838,1.0
0.082,0.8846405466308062,1.0
0.09100000000000001,0.887475467034964,1.0
0.1,0.8834048120956604,1.0
