gamma,acc_mean,acc_std,dp_mean,dp_std
0.0,0.603164421637802,0.0552298249753098,0.1315495486297232,0.03642116021299673
0.1,0.2732948471242249,0.30532136223095047,0.004005326254349898,0.0016288029993190539
0.2,0.47945264058156944,0.25171611721901194,0.01756132424636905,0.014419598335070333
0.30000000000000004,0.44220654265554843,0.35719635719648973,0.009138014651453651,0.009071673361619738
0.4,0.6649134060295061,0.28832045182668364,0.0037709200125924103,0.003217522278402154
0.5,0.38088518280949324,0.039778875521187855,0.03521368830351142,0.027666516212103084
0.6000000000000001,0.22005559119093437,0.10276623044285943,0.027831806076694665,0.024750382571415326
0.7000000000000001,0.3277314517853325,0.14892318119689194,0.019038806782891327,0.014956122154389554
0.8,0.43365405174257,0.280708119507542,0.01482374862802155,0.013037715926435054
0.9,0.5962796664528545,0.08465760794352772,0.03280155873769473,0.021422221592424847
1.0,0.5387214026085096,0.08965223813404997,0.08754073393402592,0.025550815136307397
