entropy_1,entropy_2,mean_entropy_3,std_entropy_3,mean_entropy_3_scaled,std_entropy_3_scaled,n_bins,S,x1,x2
0.36592365090022333,0.0,3.8842049925698072,0.031901246266356306,0.8987204107270177,0.007381253358678968,20.0,0.0,-0.4382387749311767,-0.6201955369580812
0.0,0.0,3.72508857394516,0.051126334714483676,0.7262396248440676,0.00996754020895008,35.0,1.0,-0.2070104860696485,3.151189767852994
0.0,0.0,3.5596191473998564,0.044847057813839054,0.6601278946159514,0.008316843074629028,42.0,0.0,1.1734328258234543,-0.6358212923153498
0.0,0.0,4.125880371697031,0.04441862471904357,0.6777668265568572,0.007296738539092298,68.0,1.0,1.1754995577229084,-0.3624451496642884
0.09377790984777166,0.0,6.63553095303065,0.053107010454128294,0.9179274286896615,0.007346568329891985,150.0,1.0,-0.7670551958821816,-1.9018528623856907
0.0,0.0,2.919919790202555,0.04364991676123036,0.5893831425453823,0.008810695827639025,31.0,1.0,0.8786910377492445,0.0058012987617752
0.0,0.0,3.6875535659167333,0.04438975702174723,0.6838532075911191,0.008232037089328533,42.0,0.0,1.2188688949987685,-0.3282545740819913
0.0,0.0,4.151841186353226,0.036557650769669284,0.8094388967497623,0.007127243836789346,35.0,1.0,0.1646151916866647,0.854493595869263
0.0,0.0,3.5545963660761197,0.0434987660167847,0.7475668697648012,0.009148221907877476,27.0,1.0,0.8265703994941083,-0.0181742484395129
0.43646981706410287,0.0,4.449560149351282,0.026393259883994727,0.9357866295105272,0.005550764318185424,27.0,1.0,-0.1969166199390768,-0.9598828047471676
0.8661236813986259,0.0,4.083573432361377,0.014644272153484409,0.9448499240864404,0.0033883655238984346,20.0,1.0,-0.7616024279066059,0.2508867333146612
0.052915080344847695,0.0,3.1506901938308456,0.016520315311683093,0.6871790539912339,0.003603151674432384,24.0,0.0,0.0922679361262773,0.1441903967373282
0.0,0.0,2.7892675000988034,0.06730008883619971,0.6973168750247009,0.01682502220904993,16.0,0.0,1.6048373290877105,0.9166627770367004
0.0,0.0,3.8090174549146183,0.04323580646109164,0.7258136559922141,0.008238643988571633,38.0,1.0,1.1783640104779602,-0.4968932581706353
0.0,0.0,4.140883499469923,0.05388097254267574,0.7099196949392315,0.009237440173195414,57.0,1.0,1.2614651971540332,-0.9373639109018822
0.0,0.0,3.9545578358929867,0.04366572012092639,0.770976727708105,0.008513026085063647,35.0,1.0,0.9944453621178108,-0.2806110249152058
0.16866093149667033,0.0,3.9578756486578195,0.0580491119494841,0.7716235652395635,0.011317198087474325,35.0,1.0,-1.098333831982225,1.6495041472849026
