gamma,acc,dp,acc_threshold,dp_threshold,optimal_threshold
0.0,0.6211278792692613,0.002637777816173378,0.409054805401112,0.005731366271822691,0.35403282642364503
0.1,0.6068308181096108,0.0036793956312936305,0.5758538522637013,0.0003554335672448228,0.39799565374851226
0.2,0.5830023828435266,0.0062135053236872795,0.522239872915012,0.0006935891138596939,0.42111894190311433
0.30000000000000004,0.6247021445591739,0.0032540272186418334,0.5730738681493248,0.009850940047736706,0.3146982729434967
0.4,0.522239872915012,0.015769896257827543,0.5361397934868943,0.0275016722655681,0.5941155925393105
0.5,0.6175536139793487,0.002304558846881355,0.5647339158061954,0.011770445863436174,0.3854377269744873
0.6000000000000001,0.6207307386814932,0.001970517114702197,0.5432883240667196,0.014650115968428912,0.42741618752479554
0.7000000000000001,0.5881652104845115,0.0007462459386366749,0.5321683876092137,0.0007536508046209756,0.3752004638314247
0.8,0.5198570293884035,0.017497698320823263,0.5242255758538522,0.014536574690003468,0.5490277022123337
0.9,0.6179507545671168,0.0156637598453864,0.4710087370929309,0.033970234084269024,0.09038733951747417
1.0,0.5929308975377283,0.008083645366158285,0.4674344718030183,0.03456838270322038,0.42171105146408083
