gamma,acc,dp,acc_threshold,dp_threshold,optimal_threshold
0.0,0.6270849880857824,0.0006063762478227637,0.551231135822081,0.008956596789414684,0.3871543824672699
0.1,0.6266878474980143,0.0,0.5540111199364575,0.0027817613214230485,0.38175917267799375
0.2,0.6262907069102462,0.0016068559185859668,0.5123113582208102,0.0054121342716121346,0.37230374813079836
0.30000000000000004,0.6262907069102462,0.0004648610312345475,0.5468625893566322,0.04832333265044014,0.3790391445159912
0.4,0.6266878474980143,0.0,0.5587768069896744,0.005065751096125837,0.38595536947250364
0.5,0.6258935663224782,7.075760829410808e-05,0.47418586179507544,0.010119983511831743,0.3675554871559143
0.6000000000000001,0.6270849880857824,0.0025365779810550618,0.5234312946783162,0.04332998468838267,0.3760848939418793
0.7000000000000001,0.6266878474980143,0.0,0.5015885623510723,0.012931364297191827,0.37348791360855105
0.8,0.6262907069102462,0.0005356186395286556,0.5214455917394758,0.015295984834834464,0.3728192627429962
0.9,0.6274821286735505,0.0030721966205837174,0.4475774424146148,0.010324851470729701,0.36917126178741455
1.0,0.4932486100079428,0.018903800094946854,0.4722001588562351,0.006828109200381349,0.4845084547996521
