epsilon,acc,dp
0.01,0.5985401459854015,0.08746611969819063
0.019000000000000003,0.6019464720194647,0.10259123675723192
0.028000000000000004,0.6092457420924574,0.1065410513436299
0.037000000000000005,0.613625304136253,0.11632946403292899
0.046000000000000006,0.6180048661800487,0.12746516936686153
0.05500000000000001,0.6223844282238443,0.1466588924284331
0.064,0.629683698296837,0.1582440252867328
0.073,0.6340632603406327,0.1638846376960801
0.082,0.6384428223844282,0.16936686155058434
0.09100000000000001,0.6491484184914842,0.1880458218089161
0.1,0.6574209245742092,0.20488846475953643
